Brand,Model,Version,Transmission,Year,Age,Sex,Policy,Insurance_company,Price
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,ABA,"7,179.27"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,Seguros Atlas,"7,390.27"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,AXA,"7,513.00"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,AIG,"7,601.82"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,HDI,"7,840.33"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,Mapfre,"8,221.07"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,GNP,"8,423.51"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,Zurich,"8,881.03"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Amplia,Inbursa,"10,228.71"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,AXA,"4,311.03"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,HDI,"4,360.88"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,ABA,"5,224.77"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,Zurich,"5,370.29"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,Seguros Atlas,"5,849.55"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,Inbursa,"6,119.27"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,AIG,"6,701.79"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,Mapfre,"6,745.43"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,Limitada,GNP,"8,132.28"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,HDI,"3,271.92"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,AXA,"3,282.48"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,ABA,"4,234.50"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,Zurich,"4,875.96"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,Mapfre,"4,961.71"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,Seguros Atlas,"5,362.92"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,AIG,"6,174.73"
Nissan,VERSA,ADVANCE,Aut,2012,18,H,RC,GNP,"8,040.18"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,ABA,"6,115.70"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,Seguros Atlas,"6,800.91"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,AXA,"6,943.13"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,Zurich,"7,056.93"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,AIG,"7,367.83"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,HDI,"7,471.52"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,GNP,"7,887.60"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,Mapfre,"7,981.69"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Amplia,Inbursa,"10,228.71"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,AXA,"3,907.66"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,HDI,"4,251.42"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,Zurich,"4,487.28"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,ABA,"4,590.36"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,Seguros Atlas,"5,427.26"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,Inbursa,"6,119.27"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,AIG,"6,370.34"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,Mapfre,"6,555.24"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,Limitada,GNP,"7,620.48"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,AXA,"2,932.59"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,HDI,"3,158.31"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,ABA,"3,784.81"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,Zurich,"4,125.46"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,Mapfre,"4,830.98"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,Seguros Atlas,"4,993.40"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,AIG,"5,877.16"
Nissan,VERSA,ADVANCE,Aut,2012,25,H,RC,GNP,"7,536.00"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,ABA,"5,473.41"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,Zurich,"6,325.67"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,Seguros Atlas,"6,440.75"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,AXA,"6,491.57"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,AIG,"6,516.10"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,Mapfre,"7,095.07"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,HDI,"7,123.10"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,GNP,"7,530.33"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Amplia,Inbursa,"10,228.71"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,AXA,"3,595.71"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,ABA,"4,098.67"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,Zurich,"4,133.29"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,HDI,"4,156.50"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,Seguros Atlas,"5,169.19"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,AIG,"5,736.46"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,Mapfre,"5,850.73"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,Inbursa,"6,119.27"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,Limitada,GNP,"7,279.27"
Nissan,VERSA,ADVANCE,Aut,2012,30,H,RC,AXA,"2,665.49"
